,value
_fit_time_mean,0.02668412208557129
_fit_time_stdev,0.0013028753473199985
_fit_time_mci,"(0.026310089795342606, 0.02668412208557129, 0.027058154375799975)"
_score_time_mean,0.01122398853302002
_score_time_stdev,0.0011888846778201464
_score_time_mci,"(0.010882680932275584, 0.01122398853302002, 0.011565296133764455)"
_accuracy_mean,0.80632
_accuracy_stdev,0.04314136761856304
_accuracy_mci,"(0.7939348822931059, 0.80632, 0.8187051177068941)"
_precision_mean,0.9528691005832103
_precision_stdev,0.0195852142771468
_precision_mci,"(0.9472465346441362, 0.9528691005832103, 0.9584916665222843)"
_recall_mean,0.7980929656445747
_recall_stdev,0.057231630693313204
_recall_mci,"(0.7816627845487583, 0.7980929656445747, 0.8145231467403911)"
_f1_micro_mean,0.80632
_f1_micro_stdev,0.04314136761856303
_f1_micro_mci,"(0.7939348822931059, 0.80632, 0.8187051177068941)"
_f1_macro_mean,0.7513422854819697
_f1_macro_stdev,0.046198861758209975
_f1_macro_mci,"(0.7380794157032712, 0.7513422854819697, 0.7646051552606682)"
_f1_weighted_mean,0.8217546125886116
_f1_weighted_stdev,0.036636899021197336
_f1_weighted_mci,"(0.8112368118826858, 0.8217546125886116, 0.8322724132945374)"
