,value
_fit_time_mean,0.2688798141479492
_fit_time_stdev,0.01996358459431743
_fit_time_mci,"(0.2631486248347534, 0.2688798141479492, 0.27461100346114503)"
_score_time_mean,0.08718062877655029
_score_time_stdev,0.01982413408333039
_score_time_mci,"(0.08148947321954256, 0.08718062877655029, 0.09287178433355803)"
_accuracy_mean,0.8007199999999999
_accuracy_stdev,0.024899028093481865
_accuracy_mci,"(0.7935719328257839, 0.8007199999999999, 0.8078680671742159)"
_precision_mean,0.8013999865631853
_precision_stdev,0.025089210014827182
_precision_mci,"(0.794197321549086, 0.8013999865631853, 0.8086026515772847)"
_recall_mean,0.9983037539653365
_recall_stdev,0.00308640118164365
_recall_mci,"(0.9974177031970037, 0.9983037539653365, 0.9991898047336694)"
_f1_micro_mean,0.8007199999999999
_f1_micro_stdev,0.02489902809348185
_f1_micro_mci,"(0.7935719328257839, 0.8007199999999999, 0.8078680671742159)"
_f1_macro_mean,0.45420023079464455
_f1_macro_stdev,0.017807905510011893
_f1_macro_mci,"(0.44908789852449543, 0.45420023079464455, 0.4593125630647937)"
_f1_weighted_mean,0.7154250581053835
_f1_weighted_stdev,0.03476611771046117
_f1_weighted_mci,"(0.7054443253696293, 0.7154250581053835, 0.7254057908411377)"
