,value
_fit_time_mean,4.484589405059815
_fit_time_stdev,0.36142774490498764
_fit_time_mci,"(4.380829941457193, 4.484589405059815, 4.588348868662436)"
_score_time_mean,0.008183646202087402
_score_time_stdev,0.0027676009136152206
_score_time_mci,"(0.007389117308522994, 0.008183646202087402, 0.008978175095651809)"
_accuracy_mean,0.6964
_accuracy_stdev,0.03838541389642685
_accuracy_mci,"(0.6853802318383032, 0.6964, 0.7074197681616968)"
_precision_mean,0.8315568525147876
_precision_stdev,0.02920123397230175
_precision_mci,"(0.8231736987137501, 0.8315568525147876, 0.8399400063158251)"
_recall_mean,0.7783627032953544
_recall_stdev,0.052958571365036386
_recall_mci,"(0.7631592413711963, 0.7783627032953544, 0.7935661652195125)"
_f1_micro_mean,0.6964
_f1_micro_stdev,0.03838541389642686
_f1_micro_mci,"(0.6853802318383032, 0.6964, 0.7074197681616968)"
_f1_macro_mean,0.5619952017436273
_f1_macro_stdev,0.036826400720968766
_f1_macro_mci,"(0.551422998477308, 0.5619952017436273, 0.5725674050099465)"
_f1_weighted_mean,0.7074398696444506
_f1_weighted_stdev,0.03427983424648979
_f1_weighted_mci,"(0.697598740223859, 0.7074398696444506, 0.7172809990650422)"
