,value
_fit_time_mean,26.704565658569337
_fit_time_stdev,2.0032066442305863
_fit_time_mci,"(26.12948073545362, 26.704565658569337, 27.279650581685054)"
_score_time_mean,6.589478497505188
_score_time_stdev,0.4369846938922904
_score_time_mci,"(6.464027980548503, 6.589478497505188, 6.714929014461873)"
_accuracy_mean,0.8020900000000001
_accuracy_stdev,0.007909924146286095
_accuracy_mci,"(0.7998192017612765, 0.8020900000000001, 0.8043607982387236)"
_precision_mean,0.8018949454751356
_precision_stdev,0.008086550625552231
_precision_mci,"(0.7995734409223424, 0.8018949454751356, 0.8042164500279289)"
_recall_mean,0.9995525781632614
_recall_stdev,0.0005117171042808484
_recall_mci,"(0.999405673303286, 0.9995525781632614, 0.9996994830232367)"
_f1_micro_mean,0.8020900000000001
_f1_micro_stdev,0.00790992414628609
_f1_micro_mci,"(0.7998192017612765, 0.8020900000000001, 0.8043607982387236)"
_f1_macro_mean,0.45698302529884643
_f1_macro_stdev,0.005744491413969462
_f1_macro_mci,"(0.45533388420166804, 0.45698302529884643, 0.45863216639602483)"
_f1_weighted_mean,0.7167471724647149
_f1_weighted_stdev,0.01119461789305894
_f1_weighted_mci,"(0.7135333971965061, 0.7167471724647149, 0.7199609477329236)"
