,value
_fit_time_mean,2.656454243659973
_fit_time_stdev,0.052364821961621774
_fit_time_mci,"(2.641421236606757, 2.656454243659973, 2.6714872507131893)"
_score_time_mean,0.449822211265564
_score_time_stdev,0.011144652400725916
_score_time_mci,"(0.4466227801996369, 0.449822211265564, 0.45302164233149106)"
_accuracy_mean,0.8401499999999998
_accuracy_stdev,0.028878408889687807
_accuracy_mci,"(0.8318595235262614, 0.8401499999999998, 0.8484404764737383)"
_precision_mean,0.9875519005733989
_precision_stdev,0.003894638143545214
_precision_mci,"(0.9864338193790324, 0.9875519005733989, 0.9886699817677654)"
_recall_mean,0.8105528871024178
_recall_stdev,0.037388651713765354
_recall_mci,"(0.7998192715974285, 0.8105528871024178, 0.8212865026074071)"
_f1_micro_mean,0.8401499999999998
_f1_micro_stdev,0.028878408889687807
_f1_micro_mci,"(0.8318595235262614, 0.8401499999999998, 0.8484404764737383)"
_f1_macro_mean,0.7986345792813957
_f1_macro_stdev,0.030228630294893408
_f1_macro_mci,"(0.7899564783080888, 0.7986345792813957, 0.8073126802547026)"
_f1_weighted_mean,0.8534652064307761
_f1_weighted_stdev,0.02488083687091954
_f1_weighted_mci,"(0.8463223616323238, 0.8534652064307761, 0.8606080512292283)"
