,value
_fit_time_mean,27.718035349845888
_fit_time_stdev,2.6122330740147897
_fit_time_mci,"(26.96810979380964, 27.718035349845888, 28.467960905882137)"
_score_time_mean,0.024105591773986815
_score_time_stdev,0.005888742938369956
_score_time_mci,"(0.02241503863524089, 0.024105591773986815, 0.02579614491273274)"
_accuracy_mean,0.74162
_accuracy_stdev,0.009152901179407539
_accuracy_mci,"(0.7389923652094479, 0.74162, 0.744247634790552)"
_precision_mean,0.839227799944175
_precision_stdev,0.00768834665732158
_precision_mci,"(0.8370206126532148, 0.839227799944175, 0.8414349872351351)"
_recall_mean,0.8374595690726667
_recall_stdev,0.010704430638082464
_recall_mci,"(0.8343865178284384, 0.8374595690726667, 0.840532620316895)"
_f1_micro_mean,0.74162
_f1_micro_stdev,0.009152901179407539
_f1_micro_mci,"(0.7389923652094479, 0.74162, 0.744247634790552)"
_f1_macro_mean,0.5973210591287971
_f1_macro_stdev,0.011422574241315056
_f1_macro_mci,"(0.5940418416560169, 0.5973210591287971, 0.6006002766015772)"
_f1_weighted_mean,0.7420049985064056
_f1_weighted_stdev,0.008760711152611428
_f1_weighted_mci,"(0.739489954482291, 0.7420049985064056, 0.7445200425305201)"
