,value
_fit_time_mean,12.714371523857118
_fit_time_stdev,0.7611925420473108
_fit_time_mci,"(12.495846712260523, 12.714371523857118, 12.932896335453712)"
_score_time_mean,0.01304891586303711
_score_time_stdev,0.0026819129901884476
_score_time_mci,"(0.012278986445017452, 0.01304891586303711, 0.013818845281056768)"
_accuracy_mean,0.7110999999999998
_accuracy_stdev,0.015271214751944253
_accuracy_mci,"(0.706715906433418, 0.7110999999999998, 0.7154840935665817)"
_precision_mean,0.8212824315360411
_precision_stdev,0.01141491923888167
_precision_mci,"(0.8180054116780195, 0.8212824315360411, 0.8245594513940626)"
_recall_mean,0.8165284514901727
_recall_stdev,0.017295335472504145
_recall_mci,"(0.811563268941926, 0.8165284514901727, 0.8214936340384195)"
_f1_micro_mean,0.7111
_f1_micro_stdev,0.015271214751944266
_f1_micro_mci,"(0.7067159064334181, 0.7111, 0.7154840935665818)"
_f1_macro_mean,0.552210742143525
_f1_macro_stdev,0.01544274140785773
_f1_macro_mci,"(0.5477774063312604, 0.552210742143525, 0.5566440779557895)"
_f1_weighted_mean,0.7122540492872678
_f1_weighted_stdev,0.014168657257545557
_f1_weighted_mci,"(0.708186480325735, 0.7122540492872678, 0.7163216182488006)"
