,value
_fit_time_mean,8.150484957695006
_fit_time_stdev,0.9175769734602671
_fit_time_mci,"(7.887064963180247, 8.150484957695006, 8.413904952209766)"
_score_time_mean,0.010242705345153808
_score_time_stdev,0.003601538154984127
_score_time_mci,"(0.009208767933393229, 0.010242705345153808, 0.011276642756914387)"
_accuracy_mean,0.7050799999999999
_accuracy_stdev,0.019948774398443617
_accuracy_mci,"(0.6993530624300678, 0.7050799999999999, 0.7108069375699321)"
_precision_mean,0.8202743480603861
_precision_stdev,0.018659262079550574
_precision_mci,"(0.8149176064933992, 0.8202743480603861, 0.8256310896273731)"
_recall_mean,0.8088594899781549
_recall_stdev,0.022278445707147747
_recall_mci,"(0.8024637452987269, 0.8088594899781549, 0.815255234657583)"
_f1_micro_mean,0.7050799999999998
_f1_micro_stdev,0.019948774398443617
_f1_micro_mci,"(0.6993530624300677, 0.7050799999999998, 0.710806937569932)"
_f1_macro_mean,0.5474595991592779
_f1_macro_stdev,0.028678390949214594
_f1_macro_mci,"(0.5392265442712005, 0.5474595991592779, 0.5556926540473552)"
_f1_weighted_mean,0.7077802489908338
_f1_weighted_stdev,0.020104032054322433
_f1_weighted_mci,"(0.7020087397151562, 0.7077802489908338, 0.7135517582665114)"
