,value
_fit_time_mean,4.738802962303161
_fit_time_stdev,0.3122965657256032
_fit_time_mci,"(4.649148184546275, 4.738802962303161, 4.828457740060047)"
_score_time_mean,1.1914530086517334
_score_time_stdev,0.10302531489467139
_score_time_mci,"(1.16187627703205, 1.1914530086517334, 1.2210297402714168)"
_accuracy_mean,0.80238
_accuracy_stdev,0.009404020416821713
_accuracy_mci,"(0.7996802733522463, 0.80238, 0.8050797266477536)"
_precision_mean,0.8023481883353228
_precision_stdev,0.009569562415213355
_precision_mci,"(0.7996009375303926, 0.8023481883353228, 0.805095439140253)"
_recall_mean,0.9991037742974812
_recall_stdev,0.0011131159500438897
_recall_mci,"(0.9987842185480065, 0.9991037742974812, 0.9994233300469559)"
_f1_micro_mean,0.80238
_f1_micro_stdev,0.009404020416821717
_f1_micro_mci,"(0.7996802733522463, 0.80238, 0.8050797266477536)"
_f1_macro_mean,0.4601137759300932
_f1_macro_stdev,0.009454782281685253
_f1_macro_mci,"(0.4573994764556987, 0.4601137759300932, 0.4628280754044878)"
_f1_weighted_mean,0.7180690551397676
_f1_weighted_stdev,0.013424380609214104
_f1_weighted_mci,"(0.7142151547382485, 0.7180690551397676, 0.7219229555412867)"
