,value
_fit_time_mean,1.0968412971496582
_fit_time_stdev,0.06655205790240962
_fit_time_mci,"(1.0777353875260904, 1.0968412971496582, 1.115947206773226)"
_score_time_mean,0.28554967403411863
_score_time_stdev,0.01984750145318128
_score_time_mci,"(0.2798518101217184, 0.28554967403411863, 0.29124753794651886)"
_accuracy_mean,0.8001600000000002
_accuracy_stdev,0.00965061656061414
_accuracy_mci,"(0.7973894799946057, 0.8001600000000002, 0.8029305200053947)"
_precision_mean,0.8002000247073727
_precision_stdev,0.009617539932412007
_precision_mci,"(0.797439000412389, 0.8002000247073727, 0.8029610490023564)"
_recall_mean,0.9998494817767599
_recall_stdev,0.00040763075066319195
_recall_mci,"(0.99973245825371, 0.9998494817767599, 0.9999665052998098)"
_f1_micro_mean,0.8001600000000002
_f1_micro_stdev,0.00965061656061413
_f1_micro_mci,"(0.7973894799946057, 0.8001600000000002, 0.8029305200053947)"
_f1_macro_mean,0.44584982008641966
_f1_macro_stdev,0.004332419433320163
_f1_macro_mci,"(0.4446060596866168, 0.44584982008641966, 0.4470935804862225)"
_f1_weighted_mean,0.7117492411308395
_f1_weighted_stdev,0.01334602243236881
_f1_weighted_mci,"(0.7079178359652644, 0.7117492411308395, 0.7155806462964146)"
