,value
_fit_time_mean,0.018202767372131348
_fit_time_stdev,0.0007484797579480123
_fit_time_mci,"(0.01798789217426152, 0.018202767372131348, 0.018417642570001176)"
_score_time_mean,0.009683351516723632
_score_time_stdev,0.0009475567283656577
_score_time_mci,"(0.009411324868924027, 0.009683351516723632, 0.009955378164523238)"
_accuracy_mean,0.8189
_accuracy_stdev,0.04880870823941154
_accuracy_mci,"(0.8048878898135241, 0.8189, 0.8329121101864758)"
_precision_mean,0.9478191838167569
_precision_stdev,0.017506970468641574
_precision_mci,"(0.942793244633226, 0.9478191838167569, 0.9528451230002878)"
_recall_mean,0.8186936441678998
_recall_stdev,0.06592007068812673
_recall_mci,"(0.7997691668092373, 0.8186936441678998, 0.8376181215265623)"
_f1_micro_mean,0.8189
_f1_micro_stdev,0.048808708239411545
_f1_micro_mci,"(0.8048878898135241, 0.8189, 0.8329121101864758)"
_f1_macro_mean,0.7614574751939923
_f1_macro_stdev,0.04876649256088942
_f1_macro_mci,"(0.7474574843763829, 0.7614574751939923, 0.7754574660116017)"
_f1_weighted_mean,0.831436637403837
_f1_weighted_stdev,0.042141931749739424
_f1_weighted_mci,"(0.8193384399212926, 0.831436637403837, 0.8435348348863814)"
