,value
_fit_time_mean,0.7516982698440552
_fit_time_stdev,0.032015035036770924
_fit_time_mci,"(0.7425073239095982, 0.7516982698440552, 0.7608892157785122)"
_score_time_mean,0.18057912349700928
_score_time_stdev,0.011515558648385214
_score_time_mci,"(0.1772732118582803, 0.18057912349700928, 0.18388503513573826)"
_accuracy_mean,0.80132
_accuracy_stdev,0.014519559221959855
_accuracy_mci,"(0.7971516933388357, 0.80132, 0.8054883066611643)"
_precision_mean,0.8018357027030905
_precision_stdev,0.014752777383619957
_precision_mci,"(0.7976004432645112, 0.8018357027030905, 0.8060709621416697)"
_recall_mean,0.9984067244400389
_recall_stdev,0.0021477822863397414
_recall_mci,"(0.9977901344269384, 0.9984067244400389, 0.9990233144531393)"
_f1_micro_mean,0.80132
_f1_micro_stdev,0.014519559221959856
_f1_micro_mci,"(0.7971516933388357, 0.80132, 0.8054883066611643)"
_f1_macro_mean,0.4572305514025578
_f1_macro_stdev,0.012496434301505955
_f1_macro_mci,"(0.4536430478465967, 0.4572305514025578, 0.4608180549585189)"
_f1_weighted_mean,0.7166254373124
_f1_weighted_stdev,0.020442367847762676
_f1_weighted_mci,"(0.7107567978608026, 0.7166254373124, 0.7224940767639975)"
