,value
_fit_time_mean,0.14752057075500488
_fit_time_stdev,0.010028018882351506
_fit_time_mci,"(0.14464170526972434, 0.14752057075500488, 0.15039943624028543)"
_score_time_mean,0.05642603397369385
_score_time_stdev,0.010388536681621275
_score_time_mci,"(0.05344367025398401, 0.05642603397369385, 0.05940839769340368)"
_accuracy_mean,0.7964800000000001
_accuracy_stdev,0.01668321311978
_accuracy_mci,"(0.7916905468689693, 0.7964800000000001, 0.8012694531310308)"
_precision_mean,0.8010582292497236
_precision_stdev,0.0154178571827266
_precision_mci,"(0.7966320372549666, 0.8010582292497236, 0.8054844212444806)"
_recall_mean,0.9919297778489387
_recall_stdev,0.008288055099839313
_recall_mci,"(0.9895504249531216, 0.9919297778489387, 0.9943091307447557)"
_f1_micro_mean,0.7964800000000001
_f1_micro_stdev,0.016683213119780004
_f1_micro_mci,"(0.7916905468689693, 0.7964800000000001, 0.8012694531310308)"
_f1_macro_mean,0.4565687964001048
_f1_macro_stdev,0.01821336098172097
_f1_macro_mci,"(0.4513400650907221, 0.4565687964001048, 0.46179752770948745)"
_f1_weighted_mean,0.7144923657808862
_f1_weighted_stdev,0.022241856465183868
_f1_weighted_mci,"(0.7081071252206723, 0.7144923657808862, 0.7208776063411)"
