,value
_fit_time_mean,0.2500290250778198
_fit_time_stdev,0.018380072124212814
_fit_time_mci,"(0.24475243397082788, 0.2500290250778198, 0.25530561618481173)"
_score_time_mean,0.07528935432434082
_score_time_stdev,0.010991427153369551
_score_time_mci,"(0.07213391149589744, 0.07528935432434082, 0.0784447971527842)"
_accuracy_mean,0.8007
_accuracy_stdev,0.023043654224102542
_accuracy_mci,"(0.7940845775941586, 0.8007, 0.8073154224058413)"
_precision_mean,0.8010481971978541
_precision_stdev,0.02279137649768119
_precision_mci,"(0.7945051992307599, 0.8010481971978541, 0.8075911951649484)"
_recall_mean,0.9989939612376708
_recall_stdev,0.0026423212999487733
_recall_mci,"(0.9982353978882508, 0.9989939612376708, 0.9997525245870909)"
_f1_micro_mean,0.8007
_f1_micro_stdev,0.023043654224102546
_f1_micro_mci,"(0.7940845775941586, 0.8007, 0.8073154224058413)"
_f1_macro_mean,0.45193895495228015
_f1_macro_stdev,0.01567945197798286
_f1_macro_mci,"(0.4474376637543777, 0.45193895495228015, 0.4564402461501826)"
_f1_weighted_mean,0.7143868261295226
_f1_weighted_stdev,0.032212477774274134
_f1_weighted_mci,"(0.7051391979042776, 0.7143868261295226, 0.7236344543547677)"
