,value
_fit_time_mean,45.71688423633575
_fit_time_stdev,5.119108874495681
_fit_time_mci,"(44.24727931964426, 45.71688423633575, 47.186489153027246)"
_score_time_mean,0.0356307315826416
_score_time_stdev,0.007355072823989371
_score_time_mci,"(0.03351922126907679, 0.0356307315826416, 0.03774224189620641)"
_accuracy_mean,0.7492549999999999
_accuracy_stdev,0.006958536124789465
_accuracy_mci,"(0.7472573283050462, 0.7492549999999999, 0.7512526716949536)"
_precision_mean,0.8440474421734905
_precision_stdev,0.006601372340351298
_precision_mci,"(0.8421523058350887, 0.8440474421734905, 0.8459425785118923)"
_recall_mean,0.8422041000657045
_recall_stdev,0.006920984652581261
_recall_mci,"(0.8402172087291178, 0.8422041000657045, 0.8441909914022911)"
_f1_micro_mean,0.7492549999999999
_f1_micro_stdev,0.006958536124789473
_f1_micro_mci,"(0.7472573283050462, 0.7492549999999999, 0.7512526716949536)"
_f1_macro_mean,0.6093210315864449
_f1_macro_stdev,0.01123264376340923
_f1_macro_mci,"(0.6060963397686182, 0.6093210315864449, 0.6125457234042716)"
_f1_weighted_mean,0.7496412652883566
_f1_weighted_stdev,0.007238173164218638
_f1_weighted_mci,"(0.747563314783534, 0.7496412652883566, 0.7517192157931792)"
