,value
_fit_time_mean,97.8537391757965
_fit_time_stdev,2.816646876423905
_fit_time_mci,"(97.04513006048752, 97.8537391757965, 98.66234829110549)"
_score_time_mean,23.761697931289675
_score_time_stdev,0.7158914221029844
_score_time_mci,"(23.556178263798042, 23.761697931289675, 23.967217598781307)"
_accuracy_mean,0.802665
_accuracy_stdev,0.006275270910486661
_accuracy_mci,"(0.8008634815697965, 0.802665, 0.8044665184302034)"
_precision_mean,0.8022114410446254
_precision_stdev,0.006254290946674939
_precision_mci,"(0.8004159455880928, 0.8022114410446254, 0.804006936501158)"
_recall_mean,0.9998500264733251
_recall_stdev,0.00022765851675822686
_recall_mci,"(0.9997846697708682, 0.9998500264733251, 0.999915383175782)"
_f1_micro_mean,0.802665
_f1_micro_stdev,0.006275270910486647
_f1_micro_mci,"(0.8008634815697965, 0.802665, 0.8044665184302034)"
_f1_macro_mean,0.4588200597986749
_f1_macro_stdev,0.005128071890392053
_f1_macro_mci,"(0.4573478817598732, 0.4588200597986749, 0.46029223783747664)"
_f1_weighted_mean,0.7176503453484788
_f1_weighted_stdev,0.008890080321589583
_f1_weighted_mci,"(0.7150981617417808, 0.7176503453484788, 0.7202025289551769)"
