,value
_fit_time_mean,4.811818966865539
_fit_time_stdev,0.3749538170663072
_fit_time_mci,"(4.704176409029304, 4.811818966865539, 4.919461524701775)"
_score_time_mean,0.8296270990371704
_score_time_stdev,0.03519371748260494
_score_time_mci,"(0.8195236100282199, 0.8296270990371704, 0.8397305880461208)"
_accuracy_mean,0.8538650000000001
_accuracy_stdev,0.024533559158833852
_accuracy_mci,"(0.8468218524429332, 0.8538650000000001, 0.860908147557067)"
_precision_mean,0.9865992736244955
_precision_stdev,0.0029401385778450068
_precision_mci,"(0.9857552122427807, 0.9865992736244955, 0.9874433350062103)"
_recall_mean,0.8285884323012291
_recall_stdev,0.03262721003636757
_recall_mci,"(0.8192217418355774, 0.8285884323012291, 0.8379551227668809)"
_f1_micro_mean,0.8538650000000001
_f1_micro_stdev,0.02453355915883385
_f1_micro_mci,"(0.8468218524429332, 0.8538650000000001, 0.860908147557067)"
_f1_macro_mean,0.8125620364201497
_f1_macro_stdev,0.024839674585431855
_f1_macro_mci,"(0.805431008580199, 0.8125620364201497, 0.8196930642601004)"
_f1_weighted_mean,0.8652580941266756
_f1_weighted_stdev,0.021381927393298937
_f1_weighted_mci,"(0.8591197238759299, 0.8652580941266756, 0.8713964643774214)"
