,value
_fit_time,68.95856623649597
_score_time,0.07501635551452637
_accuracy,0.8008000000000001
_precision,0.8007712154365422
_recall,0.9997524752475246
_f1_micro,0.8008000000000001
_f1_macro,0.4496831720005853
_f1_weighted,0.7133759852813626
contamination,auto
max_features,0.5
max_samples,64
n_estimators,200
